(100,20,35)
(1236,564,65)
(546,56,5647)
(6574,5641,51)	
(11,20546,12)
(234,654,3564)
(56,5541,651)
(654,4554,231)
(45523,99593,63940)
(97457,70349,78231)
(28028,78635,00257)
(88507,23756,18011)
(61804,03866,51123)
(35910,28433,50864)
(83571,12006,53259)
(29501,47659,93185)
(83167,39778,3387)
(06002,44714,55136)
(70754,50459,11343)
(28692,29760,26556) 
(36169,80771,93848)
(07734,66077,91048)
(89576,20551,27624)
(32965,16943,65009)
(94253,79962,49391) 
(14547,15079,58600) 
(13479,22283,48987)
(42319,09207,35101)
(83976,84235,36573) 
(53000,77163,31233)
